Index,Car Name,Color,Model Year,Mileage (kmpl),Fuel Type,Transmission,Engine CC,Number of Seats,Current Price (lakhs)
177,Tata Nexon,Red,2015,18,Diesel,Manual,2179,7,19.2
178,Maruti Alto,Silver,2019,16,Petrol,Manual,1200,5,36.7
179,Maruti Alto,Orange,2016,13,Petrol,Automatic,1400,5,42.4
180,Hyundai i20,Yellow,2018,20,Petrol,Automatic,2179,7,39.8
181,Toyota Innova,Orange,2020,18,Petrol,Manual,1400,7,9.4
182,Toyota Innova,Orange,2017,19,Diesel,Manual,2400,7,16.3
183,Hyundai i20,Black,2017,20,Diesel,Automatic,1498,5,12.7
184,Tata Nexon,Blue,2019,13,Diesel,Manual,1200,5,17.3
185,Hyundai i20,Silver,2017,18,Diesel,Manual,1500,7,41.9
186,Tata Nexon,Orange,2017,15,Petrol,Manual,2179,5,32.3
187,BMW X1,Orange,2022,18,Diesel,Automatic,1995,5,35.1
188,Toyota Innova,Yellow,2020,11,Diesel,Manual,1498,7,12.5
189,BMW X1,Grey,2018,24,Diesel,Automatic,1200,5,53.4
190,Audi Q5,Silver,2021,13,Diesel,Automatic,1400,5,31.0
191,Audi Q5,White,2021,11,Diesel,Manual,1498,5,36.3
192,Audi Q5,Black,2021,10,Diesel,Manual,2179,7,42.1
193,BMW X1,Silver,2021,19,Petrol,Manual,1400,7,17.1
194,Kia Seltos,Black,2017,23,Diesel,Manual,800,5,30.9
195,BMW X1,Yellow,2020,21,Diesel,Manual,1400,7,14.9
196,Toyota Innova,Grey,2022,23,Petrol,Automatic,800,7,39.9
197,Hyundai i20,Black,2017,14,Petrol,Automatic,1500,5,4.2
198,Kia Seltos,Grey,2015,19,Diesel,Automatic,800,5,46.0
199,Toyota Innova,Orange,2019,13,Diesel,Manual,2179,5,49.7
200,Tata Nexon,Green,2017,12,Petrol,Manual,1984,7,41.7
201,Audi Q5,White,2016,16,Diesel,Automatic,1200,7,53.4
202,BMW X1,White,2017,15,Diesel,Manual,800,5,12.8
203,Tata Nexon,Brown,2021,15,Petrol,Manual,2179,5,13.7
204,Mahindra XUV500,Silver,2022,10,Petrol,Automatic,2400,7,44.2
205,Maruti Alto,Grey,2019,13,Petrol,Automatic,1200,5,38.6
206,Honda City,Silver,2020,22,Diesel,Manual,1995,5,17.2
207,Kia Seltos,White,2020,15,Petrol,Automatic,1995,7,21.2
208,Audi Q5,White,2018,16,Diesel,Manual,1995,7,48.6
209,Maruti Alto,Silver,2019,18,Petrol,Manual,1984,5,5.5
210,Honda City,Red,2016,13,Petrol,Automatic,1200,5,49.7
211,Ford EcoSport,Silver,2018,10,Petrol,Automatic,1995,7,6.5
212,Tata Nexon,Silver,2022,23,Diesel,Automatic,2179,5,28.8
213,Hyundai i20,Black,2015,13,Petrol,Manual,1500,5,42.8
214,Honda City,Silver,2021,13,Diesel,Manual,1200,7,32.2
215,Hyundai i20,White,2015,22,Petrol,Manual,2179,7,13.9
216,Tata Nexon,Orange,2019,24,Petrol,Automatic,1498,5,8.0
217,Tata Nexon,Blue,2022,20,Petrol,Manual,1400,7,48.1
218,BMW X1,Green,2020,21,Diesel,Automatic,1984,5,15.2
219,Hyundai i20,Blue,2020,21,Petrol,Automatic,800,5,31.8
220,Toyota Innova,Black,2019,14,Petrol,Manual,2179,5,37.3
221,Kia Seltos,Yellow,2021,12,Petrol,Manual,2400,5,17.1
222,Kia Seltos,Red,2020,19,Petrol,Manual,1984,5,5.7
223,Ford EcoSport,Silver,2017,14,Petrol,Manual,800,7,23.7
224,Hyundai i20,Yellow,2020,21,Diesel,Automatic,1984,5,28.4
225,Ford EcoSport,Grey,2019,23,Petrol,Manual,1498,7,8.0
226,BMW X1,Yellow,2016,18,Diesel,Manual,1995,7,15.3
227,Ford EcoSport,Black,2018,16,Diesel,Automatic,1500,5,14.0
228,BMW X1,Black,2015,13,Petrol,Automatic,2179,7,50.0
229,Maruti Alto,Silver,2022,22,Diesel,Manual,1400,5,41.5
230,Toyota Innova,Blue,2017,10,Diesel,Automatic,1498,5,16.2
231,Toyota Innova,Yellow,2017,11,Petrol,Automatic,1995,5,14.3
232,Honda City,White,2018,15,Petrol,Automatic,1984,5,32.1
233,Mahindra XUV500,Silver,2020,18,Petrol,Manual,1498,5,18.5
234,Toyota Innova,Green,2017,19,Diesel,Automatic,1400,7,42.3
235,Maruti Alto,Grey,2019,11,Diesel,Manual,1984,7,7.6
236,Honda City,Red,2015,23,Diesel,Automatic,2400,7,43.3
237,Tata Nexon,Silver,2017,22,Diesel,Manual,1995,5,48.3
238,Mahindra XUV500,Orange,2021,23,Diesel,Automatic,1995,7,21.3
239,Maruti Alto,Red,2020,16,Petrol,Automatic,2400,7,49.3
240,BMW X1,Grey,2016,19,Petrol,Automatic,2179,7,46.3
241,Kia Seltos,Blue,2018,15,Petrol,Manual,2400,5,33.4
242,Mahindra XUV500,Blue,2022,21,Petrol,Automatic,2400,7,44.9
243,Hyundai i20,Blue,2018,15,Petrol,Automatic,2179,5,25.1
244,Hyundai i20,Brown,2015,15,Petrol,Manual,1995,7,14.9
245,Hyundai i20,Red,2019,14,Petrol,Automatic,1200,7,48.8
246,Toyota Innova,Silver,2020,23,Diesel,Automatic,2400,5,6.3
247,Toyota Innova,Silver,2018,24,Petrol,Automatic,1400,7,24.3
248,BMW X1,Red,2022,16,Petrol,Manual,1984,7,14.9
249,Ford EcoSport,Green,2017,24,Petrol,Automatic,1500,5,15.5
250,Honda City,Brown,2018,18,Diesel,Manual,800,7,23.7
251,BMW X1,Black,2016,12,Petrol,Manual,1500,5,17.2
252,Ford EcoSport,Black,2016,16,Petrol,Manual,1200,5,8.2
253,Toyota Innova,Green,2017,20,Diesel,Manual,1500,7,6.9
254,Kia Seltos,Red,2016,17,Diesel,Manual,1400,7,13.4
255,Honda City,Black,2020,21,Diesel,Automatic,2179,5,52.4
256,Toyota Innova,Blue,2018,13,Diesel,Automatic,1498,5,4.5
257,Audi Q5,White,2015,14,Diesel,Manual,1500,5,26.7
258,Mahindra XUV500,Red,2018,16,Diesel,Manual,1500,5,20.3
259,Kia Seltos,Orange,2015,10,Diesel,Manual,1984,5,8.3
260,Ford EcoSport,Green,2017,23,Petrol,Automatic,2400,5,36.2
261,BMW X1,Black,2022,24,Diesel,Automatic,1498,7,40.2
262,Maruti Alto,Blue,2018,19,Petrol,Manual,800,7,9.6
263,Kia Seltos,Silver,2021,11,Diesel,Automatic,2400,5,6.4
264,Maruti Alto,Yellow,2016,23,Diesel,Manual,1498,7,47.3
265,Ford EcoSport,Silver,2019,12,Petrol,Automatic,1995,7,18.4
266,Hyundai i20,Brown,2015,17,Petrol,Automatic,1400,7,46.3
267,Toyota Innova,Yellow,2020,15,Diesel,Manual,1995,5,12.6
268,Honda City,Grey,2016,16,Petrol,Automatic,1200,5,6.9
269,Hyundai i20,Green,2017,18,Petrol,Automatic,1995,7,41.8
270,Hyundai i20,Silver,2018,19,Diesel,Automatic,2400,5,53.3
271,Tata Nexon,Grey,2017,14,Petrol,Manual,1995,5,22.5
272,Kia Seltos,Green,2022,11,Petrol,Manual,1400,7,37.8
273,Hyundai i20,Brown,2019,16,Diesel,Manual,1500,7,41.2
274,Ford EcoSport,Yellow,2015,15,Diesel,Manual,1400,7,25.8
275,Ford EcoSport,Yellow,2022,24,Petrol,Automatic,1995,5,25.7
276,Ford EcoSport,Yellow,2019,14,Diesel,Automatic,1995,5,17.2
277,Hyundai i20,White,2016,21,Diesel,Automatic,800,5,15.3
278,Honda City,Red,2020,20,Diesel,Manual,800,7,7.4
279,Maruti Alto,Silver,2016,11,Diesel,Automatic,2179,5,8.6
280,Audi Q5,Black,2019,19,Diesel,Manual,2400,5,6.7
281,BMW X1,White,2018,13,Petrol,Manual,1400,5,22.7
282,Mahindra XUV500,Silver,2018,12,Petrol,Manual,1400,7,24.0
283,Toyota Innova,Grey,2018,22,Diesel,Automatic,1498,7,45.0
284,Mahindra XUV500,White,2022,10,Diesel,Automatic,1498,5,13.5
285,Mahindra XUV500,Blue,2022,14,Petrol,Automatic,1500,5,19.0
286,Audi Q5,Orange,2020,22,Diesel,Manual,800,7,25.4
287,BMW X1,Silver,2021,20,Diesel,Manual,1400,5,44.1
288,BMW X1,Blue,2015,15,Petrol,Automatic,1995,5,31.5
289,Ford EcoSport,Yellow,2017,15,Petrol,Automatic,1200,5,29.3
290,Kia Seltos,Orange,2021,22,Petrol,Automatic,800,5,20.2
291,Kia Seltos,Red,2018,17,Diesel,Manual,1200,5,9.1
292,Hyundai i20,Orange,2022,15,Diesel,Manual,1984,5,28.6
293,Hyundai i20,Black,2021,11,Diesel,Manual,1200,7,9.5
294,Honda City,Silver,2022,16,Diesel,Manual,2179,5,51.0
295,Hyundai i20,Red,2021,14,Petrol,Automatic,800,5,50.5
296,BMW X1,Black,2018,19,Petrol,Automatic,2179,7,35.0
297,Maruti Alto,Orange,2021,14,Diesel,Automatic,1984,7,47.2
298,Hyundai i20,Grey,2021,13,Petrol,Manual,1984,5,19.8
299,Toyota Innova,Red,2017,11,Diesel,Manual,1200,7,49.1
300,Toyota Innova,White,2022,22,Petrol,Manual,1400,5,32.7
301,Hyundai i20,Silver,2022,15,Diesel,Manual,2179,7,25.1
302,Tata Nexon,Blue,2022,19,Petrol,Manual,1498,5,50.3
303,Mahindra XUV500,Yellow,2022,15,Petrol,Manual,1984,7,14.9
304,Honda City,Brown,2022,14,Petrol,Manual,2400,5,20.6
305,BMW X1,Black,2022,13,Diesel,Automatic,2179,5,27.0
306,Audi Q5,White,2017,18,Petrol,Automatic,1200,5,25.0
307,Audi Q5,Grey,2015,15,Petrol,Manual,1400,5,52.8
308,Maruti Alto,Green,2015,10,Diesel,Automatic,1995,7,42.8
309,Hyundai i20,Blue,2016,20,Petrol,Automatic,1995,7,46.7
310,Toyota Innova,Brown,2015,10,Diesel,Manual,1200,5,53.0
311,Mahindra XUV500,Orange,2022,14,Diesel,Manual,1500,5,34.1
312,Mahindra XUV500,Brown,2018,20,Diesel,Manual,800,7,7.9
313,Maruti Alto,Yellow,2017,22,Diesel,Manual,1500,5,29.3
314,Ford EcoSport,Yellow,2017,19,Diesel,Automatic,1200,5,10.6
315,Toyota Innova,Grey,2018,24,Petrol,Automatic,1400,5,53.8
316,Kia Seltos,Red,2016,15,Diesel,Automatic,800,7,47.8
317,Hyundai i20,Blue,2022,13,Petrol,Manual,2179,7,34.8
318,Toyota Innova,Silver,2017,13,Diesel,Manual,1984,7,44.7
319,Audi Q5,Green,2020,12,Diesel,Manual,1200,5,28.8
320,Mahindra XUV500,Silver,2021,14,Diesel,Automatic,800,5,42.4
321,Maruti Alto,Grey,2022,10,Diesel,Automatic,1400,5,12.9
322,Ford EcoSport,Yellow,2016,22,Diesel,Automatic,1984,7,54.0
323,Tata Nexon,Blue,2022,11,Petrol,Automatic,2400,7,46.1
324,Toyota Innova,Black,2022,16,Diesel,Manual,1984,5,50.9
325,Toyota Innova,Red,2015,23,Diesel,Automatic,2400,5,42.5
326,Mahindra XUV500,Silver,2020,14,Petrol,Automatic,1200,5,46.4
327,Tata Nexon,Brown,2017,24,Petrol,Automatic,2400,5,14.8
328,Tata Nexon,White,2015,10,Petrol,Automatic,2400,7,47.5
329,Hyundai i20,White,2017,15,Petrol,Automatic,1995,7,50.2
330,Maruti Alto,Blue,2021,21,Petrol,Automatic,1498,5,50.4
331,Kia Seltos,Brown,2020,19,Diesel,Automatic,1500,5,24.6
332,Hyundai i20,White,2021,16,Diesel,Automatic,1400,5,15.2
333,Tata Nexon,Silver,2022,10,Diesel,Automatic,1984,7,23.8
334,Hyundai i20,White,2020,15,Diesel,Automatic,1984,7,24.5
335,Kia Seltos,Green,2016,11,Petrol,Automatic,1984,5,45.2
336,Audi Q5,Red,2020,13,Petrol,Manual,800,7,4.0
337,Ford EcoSport,Red,2018,17,Petrol,Manual,1200,7,31.5
338,Toyota Innova,Silver,2015,21,Petrol,Automatic,1995,7,40.6
339,Toyota Innova,Red,2017,12,Petrol,Automatic,2179,5,53.2
340,Hyundai i20,Silver,2017,11,Diesel,Automatic,1200,5,20.0
341,Ford EcoSport,Red,2021,22,Diesel,Automatic,2400,7,14.7
342,BMW X1,Brown,2018,11,Petrol,Automatic,800,5,6.2
343,Ford EcoSport,Black,2021,16,Diesel,Automatic,800,7,54.1
344,Audi Q5,Red,2017,20,Diesel,Manual,1995,5,49.0
345,Audi Q5,Silver,2016,12,Petrol,Manual,1400,7,46.1
346,Mahindra XUV500,Grey,2021,16,Diesel,Manual,1500,5,28.8
347,Maruti Alto,Black,2018,12,Petrol,Manual,800,5,48.0
348,Toyota Innova,Brown,2021,18,Petrol,Manual,1984,5,11.7
349,Toyota Innova,Brown,2018,13,Petrol,Manual,2400,5,27.6
350,Maruti Alto,Orange,2015,21,Diesel,Manual,1984,5,34.1
351,Maruti Alto,Grey,2019,17,Petrol,Manual,1400,7,12.0
352,Ford EcoSport,Silver,2020,16,Petrol,Automatic,800,5,14.5
353,Tata Nexon,White,2016,10,Diesel,Manual,1498,7,40.4
354,BMW X1,Brown,2021,17,Petrol,Automatic,800,5,16.6
355,Toyota Innova,Orange,2017,21,Petrol,Manual,1498,7,9.1
356,Ford EcoSport,Brown,2021,14,Diesel,Manual,1995,7,45.0
357,Maruti Alto,Brown,2016,11,Diesel,Manual,2400,5,29.8
358,Toyota Innova,Green,2015,21,Diesel,Manual,1200,5,38.7
359,Kia Seltos,Blue,2020,24,Diesel,Manual,800,7,8.3
360,Hyundai i20,Red,2019,13,Petrol,Manual,1500,7,46.5
361,Maruti Alto,Silver,2019,24,Diesel,Manual,1500,7,37.7
362,Toyota Innova,Red,2018,16,Petrol,Manual,2179,7,50.9
363,Ford EcoSport,Orange,2021,21,Diesel,Manual,1498,7,24.1
364,Maruti Alto,Blue,2022,13,Diesel,Manual,800,5,7.2
365,Maruti Alto,Brown,2020,16,Petrol,Automatic,1400,7,15.8
366,Maruti Alto,Yellow,2015,24,Petrol,Manual,2400,5,4.6
367,BMW X1,Blue,2016,21,Diesel,Automatic,1995,7,38.1
368,Hyundai i20,Blue,2022,14,Diesel,Automatic,1500,7,51.4
369,Maruti Alto,Black,2017,11,Petrol,Manual,800,5,14.4
370,Ford EcoSport,Green,2015,19,Petrol,Manual,2179,7,11.0
371,Hyundai i20,Green,2016,13,Petrol,Manual,800,5,19.5
372,Honda City,Yellow,2020,17,Petrol,Manual,1200,7,32.4
373,Toyota Innova,Silver,2017,16,Petrol,Automatic,2400,5,42.1
374,Audi Q5,Yellow,2015,18,Diesel,Manual,1995,7,37.7
375,Hyundai i20,Brown,2022,19,Petrol,Automatic,1200,7,53.2
376,Ford EcoSport,Blue,2018,23,Diesel,Manual,1498,5,20.6
